V(m³/mol)	P(Pa)
1.20634e-05	-4.5322e+09
90.1711	24.896
180.342	12.448
270.513	8.29868
360.684	6.22401
450.855	4.97921
541.026	4.14934
631.197	3.55658
721.368	3.11201
811.539	2.76623
901.71	2.48961
991.881	2.26328
1082.05	2.07467
1172.22	1.91508
1262.39	1.77829
1352.57	1.65974
1442.74	1.556
1532.91	1.46447
1623.08	1.38312
1713.25	1.31032
1803.42	1.2448
1893.59	1.18553
1983.76	1.13164
2073.93	1.08244
2164.11	1.03734
2254.28	0.995843
2344.45	0.957541
2434.62	0.922077
2524.79	0.889145
2614.96	0.858485
2705.13	0.829869
2795.3	0.803099
2885.47	0.778002
2975.64	0.754426
3065.82	0.732237
3155.99	0.711316
3246.16	0.691558
3336.33	0.672867
3426.5	0.65516
3516.67	0.638361
3606.84	0.622402
3697.01	0.607221
3787.18	0.592764
3877.35	0.578978
3967.53	0.56582
4057.7	0.553246
4147.87	0.541219
4238.04	0.529704
4328.21	0.518668
4418.38	0.508083
4508.55	0.497921
4598.72	0.488158
4688.89	0.478771
4779.07	0.469737
4869.24	0.461038
4959.41	0.452656
5049.58	0.444573
5139.75	0.436773
5229.92	0.429243
5320.09	0.421967
5410.26	0.414935
5500.43	0.408132
5590.6	0.40155
5680.78	0.395176
5770.95	0.389001
5861.12	0.383017
5951.29	0.377213
6041.46	0.371583
6131.63	0.366119
6221.8	0.360813
6311.97	0.355658
6402.14	0.350649
6492.31	0.345779
6582.49	0.341042
6672.66	0.336433
6762.83	0.331948
6853	0.32758
6943.17	0.323326
7033.34	0.31918
7123.51	0.31514
7213.68	0.311201
7303.85	0.307359
7394.03	0.303611
7484.2	0.299953
7574.37	0.296382
7664.54	0.292895
7754.71	0.289489
7844.88	0.286162
7935.05	0.28291
8025.22	0.279731
8115.39	0.276623
8205.56	0.273583
8295.74	0.270609
8385.91	0.2677
8476.08	0.264852
8566.25	0.262064
8656.42	0.259334
8746.59	0.256661
8836.76	0.254042
8926.93	0.251475
