V(m³/mol)	P(Pa)
5e-05	2.03006e+08
5.40404e-05	9.78205e+07
5.80808e-05	5.54215e+07
6.21212e-05	3.46942e+07
6.61616e-05	2.34651e+07
7.0202e-05	1.69905e+07
7.42424e-05	1.31055e+07
7.82828e-05	1.07145e+07
8.23232e-05	9.22151e+06
8.63636e-05	8.28426e+06
9.0404e-05	7.69824e+06
9.44444e-05	7.33723e+06
9.84848e-05	7.1214e+06
0.000102525	6.99926e+06
0.000106566	6.93713e+06
0.000110606	6.91272e+06
0.000114646	6.9112e+06
0.000118687	6.92265e+06
0.000122727	6.94049e+06
0.000126768	6.96035e+06
0.000130808	6.97938e+06
0.000134848	6.99579e+06
0.000138889	7.00849e+06
0.000142929	7.01687e+06
0.00014697	7.02068e+06
0.00015101	7.01986e+06
0.000155051	7.01451e+06
0.000159091	7.00484e+06
0.000163131	6.99109e+06
0.000167172	6.97355e+06
0.000171212	6.95252e+06
0.000175253	6.9283e+06
0.000179293	6.90119e+06
0.000183333	6.87146e+06
0.000187374	6.83939e+06
0.000191414	6.80523e+06
0.000195455	6.76921e+06
0.000199495	6.73156e+06
0.000203535	6.69248e+06
0.000207576	6.65214e+06
0.000211616	6.61073e+06
0.000215657	6.56838e+06
0.000219697	6.52526e+06
0.000223737	6.48148e+06
0.000227778	6.43715e+06
0.000231818	6.3924e+06
0.000235859	6.3473e+06
0.000239899	6.30195e+06
0.000243939	6.25643e+06
0.00024798	6.21081e+06
0.00025202	6.16514e+06
0.000256061	6.11949e+06
0.000260101	6.07391e+06
0.000264141	6.02844e+06
0.000268182	5.98312e+06
0.000272222	5.938e+06
0.000276263	5.8931e+06
0.000280303	5.84845e+06
0.000284343	5.80408e+06
0.000288384	5.76001e+06
0.000292424	5.71626e+06
0.000296465	5.67285e+06
0.000300505	5.62979e+06
0.000304545	5.58711e+06
0.000308586	5.54479e+06
0.000312626	5.50287e+06
0.000316667	5.46135e+06
0.000320707	5.42022e+06
0.000324747	5.37951e+06
0.000328788	5.33921e+06
0.000332828	5.29933e+06
0.000336869	5.25987e+06
0.000340909	5.22083e+06
0.000344949	5.18221e+06
0.00034899	5.14401e+06
0.00035303	5.10624e+06
0.000357071	5.06889e+06
0.000361111	5.03196e+06
0.000365152	4.99545e+06
0.000369192	4.95936e+06
0.000373232	4.92368e+06
0.000377273	4.88841e+06
0.000381313	4.85356e+06
0.000385354	4.8191e+06
0.000389394	4.78505e+06
0.000393434	4.7514e+06
0.000397475	4.71814e+06
0.000401515	4.68527e+06
0.000405556	4.65279e+06
0.000409596	4.62069e+06
0.000413636	4.58897e+06
0.000417677	4.55762e+06
0.000421717	4.52665e+06
0.000425758	4.49603e+06
0.000429798	4.46578e+06
0.000433838	4.43588e+06
0.000437879	4.40633e+06
0.000441919	4.37713e+06
0.00044596	4.34827e+06
0.00045	4.31975e+06
