V(m³/mol)	P(Pa)
0.0306419156	102771.1886071092
0.0120991491	258974.1875180378
0.0075020071	415576.0145098749
0.0054222402	572091.6105655963
0.0042380810	728274.4125310085
0.0034741634	883975.2754558324
0.0029408196	1039096.5462348606
0.0025475287	1193571.3106589187
0.0022456379	1347352.5416354183
0.0020066738	1500406.6596402833
0.0018128674	1652709.6996001436
0.0016525582	1804244.8186400887
0.0015177784	1955000.4900073798
0.0014028991	2104969.3630603757
0.0013038313	2254147.3093340313
0.0012175332	2402533.0243226765
0.0011416954	2550127.4172359826
0.0010745332	2696933.0581795624
0.0010146456	2842954.1216015331
0.0009609174	2988196.4704538640
0.0009124502	3132666.5478422241
0.0008685118	3276372.5863913768
0.0008285000	3419322.5739783319
0.0007919143	3561526.9884679308
0.0007583362	3702994.8005885608
0.0007274122	3843737.6046118001
0.0006988421	3983767.2854933785
0.0006723696	4123094.4783655903
0.0006477739	4261732.4282254763
0.0006248642	4399694.1954186875
0.0006034748	4536992.4703673469
0.0005834609	4673641.0104907183
0.0005646955	4809653.9093092084
0.0005470667	4945045.9503999399
0.0005304758	5079830.2551315306
0.0005148348	5214023.6792103369
0.0005000658	5347639.2240629755
0.0004860988	5480693.8518827464
0.0004728714	5613201.4924823903
0.0004603272	5745179.5220958693
0.0004484156	5876643.0294348877
0.0004370908	6007608.0843042396
0.0004263114	6138089.7864086907
0.0004160396	6268105.9459392866
0.0004062412	6397671.8849471044
0.0003968848	6526805.8506720271
0.0003879420	6655521.9328336790
0.0003793865	6783838.5651598144
0.0003711943	6911772.3105603354
0.0003633433	7039340.4323808094
0.0003558133	7166557.7058876660
0.0003485855	7293441.8156550173
0.0003416425	7420011.1447521653
0.0003349683	7546282.2994557787
0.0003285481	7672271.3608019575
0.0003223682	7797993.6617397247
0.0003164156	7923470.2098439084
0.0003106786	8048713.4993252242
0.0003051460	8173742.5883328719
0.0002998074	8298575.5392530663
0.0002946532	8423227.6927954704
0.0002896743	8547717.4018175416
0.0002848624	8672057.3546184823
0.0002802094	8796268.6640208885
0.0002757080	8920364.3338646870
0.0002713512	9044361.2660527434
0.0002671323	9168279.9181695543
0.0002630453	9292131.5954295732
0.0002590843	9415935.1185537763
0.0002552438	9539707.3955319338
0.0002515187	9663462.3042419869
0.0002479041	9787216.4286230616
0.0002443954	9910985.2103641424
0.0002409883	10034782.1070400700
0.0002376785	10158629.0666316096
0.0002344623	10282533.7574862577
0.0002313358	10406519.0358158313
0.0002282957	10530591.5844311155
0.0002253385	10654773.0739456043
0.0002224611	10779075.6325437464
0.0002196605	10903513.4861843064
0.0002169338	11028102.8542257175
0.0002142784	11152852.2993457653
0.0002116915	11277785.7378792278
0.0002091708	11402909.0302393921
0.0002067138	11528243.2462807614
0.0002043185	11653789.3037164249
0.0002019825	11779573.9558158237
0.0001997039	11905602.6553848870
0.0001974806	12031896.5715892464
0.0001953109	12158459.0253855996
0.0001931930	12285303.1193100959
0.0001911251	12412446.6370977312
0.0001891055	12539906.0227453541
0.0001871328	12667682.8067840487
0.0001852055	12795788.3384970073
0.0001833220	12924244.9394648075
0.0001814810	13053058.7769079674
0.0001796811	13182246.5839946456
0.0001779212	13311807.0497698579
