V(m³/mol)	P(Pa)
1.20634e-05	-4.54511e+09
90.1711	35.0389
180.342	17.5194
270.513	11.6796
360.684	8.75973
450.855	7.00778
541.026	5.83982
631.197	5.00556
721.368	4.37986
811.539	3.89321
901.71	3.50389
991.881	3.18536
1082.05	2.91991
1172.22	2.6953
1262.39	2.50278
1352.57	2.33593
1442.74	2.18993
1532.91	2.06111
1623.08	1.94661
1713.25	1.84415
1803.42	1.75195
1893.59	1.66852
1983.76	1.59268
2073.93	1.52343
2164.11	1.45995
2254.28	1.40156
2344.45	1.34765
2434.62	1.29774
2524.79	1.25139
2614.96	1.20824
2705.13	1.16796
2795.3	1.13029
2885.47	1.09497
2975.64	1.06179
3065.82	1.03056
3155.99	1.00111
3246.16	0.973303
3336.33	0.946998
3426.5	0.922077
3516.67	0.898434
3606.84	0.875973
3697.01	0.854608
3787.18	0.83426
3877.35	0.814859
3967.53	0.796339
4057.7	0.778643
4147.87	0.761716
4238.04	0.745509
4328.21	0.729977
4418.38	0.71508
4508.55	0.700778
4598.72	0.687038
4688.89	0.673825
4779.07	0.661112
4869.24	0.648869
4959.41	0.637071
5049.58	0.625695
5139.75	0.614718
5229.92	0.604119
5320.09	0.59388
5410.26	0.583982
5500.43	0.574408
5590.6	0.565144
5680.78	0.556173
5770.95	0.547483
5861.12	0.53906
5951.29	0.530893
6041.46	0.522969
6131.63	0.515278
6221.8	0.50781
6311.97	0.500556
6402.14	0.493506
6492.31	0.486652
6582.49	0.479985
6672.66	0.473499
6762.83	0.467186
6853	0.461038
6943.17	0.455051
7033.34	0.449217
7123.51	0.443531
7213.68	0.437986
7303.85	0.432579
7394.03	0.427304
7484.2	0.422156
7574.37	0.41713
7664.54	0.412223
7754.71	0.407429
7844.88	0.402746
7935.05	0.39817
8025.22	0.393696
8115.39	0.389321
8205.56	0.385043
8295.74	0.380858
8385.91	0.376763
8476.08	0.372754
8566.25	0.368831
8656.42	0.364989
8746.59	0.361226
8836.76	0.35754
8926.93	0.353928
