V(m³/mol)	P(Pa)
0.05	50449
0.0540404	46684.2
0.0580808	43442.3
0.0621212	40621.4
0.0661616	38144.6
0.070202	35952.4
0.0742424	33998.5
0.0782828	32246
0.0823232	30665.3
0.0863636	29232.4
0.090404	27927.4
0.0944444	26733.9
0.0984848	25638.3
0.102525	24628.9
0.106566	23696
0.110606	22831.2
0.114646	22027.3
0.118687	21278.1
0.122727	20578.1
0.126768	19922.8
0.130808	19307.9
0.134848	18729.8
0.138889	18185.3
0.142929	17671.6
0.14697	17186.2
0.15101	16726.6
0.155051	16291.1
0.159091	15877.6
0.163131	15484.6
0.167172	15110.5
0.171212	14754.2
0.175253	14414.2
0.179293	14089.6
0.183333	13779.2
0.187374	13482.3
0.191414	13197.8
0.195455	12925.1
0.199495	12663.5
0.203535	12412.2
0.207576	12170.8
0.211616	11938.5
0.215657	11714.9
0.219697	11499.6
0.223737	11292
0.227778	11091.8
0.231818	10898.6
0.235859	10711.9
0.239899	10531.6
0.243939	10357.2
0.24798	10188.6
0.25202	10025.3
0.256061	9867.16
0.260101	9713.94
0.264141	9565.41
0.268182	9421.36
0.272222	9281.57
0.276263	9145.88
0.280303	9014.09
0.284343	8886.05
0.288384	8761.6
0.292424	8640.58
0.296465	8522.86
0.300505	8408.31
0.304545	8296.79
0.308586	8188.2
0.312626	8082.41
0.316667	7979.32
0.320707	7878.82
0.324747	7780.83
0.328788	7685.24
0.332828	7591.97
0.336869	7500.94
0.340909	7412.07
0.344949	7325.28
0.34899	7240.49
0.35303	7157.65
0.357071	7076.68
0.361111	6997.52
0.365152	6920.12
0.369192	6844.41
0.373232	6770.33
0.377273	6697.84
0.381313	6626.89
0.385354	6557.43
0.389394	6489.41
0.393434	6422.78
0.397475	6357.51
0.401515	6293.55
0.405556	6230.86
0.409596	6169.42
0.413636	6109.17
0.417677	6050.09
0.421717	5992.13
0.425758	5935.28
0.429798	5879.5
0.433838	5824.76
0.437879	5771.02
0.441919	5718.27
0.44596	5666.48
0.45	5615.61
