V(m³/mol)	P(Pa)
0.0290622474	100039.6488137542
0.0115785501	250753.0299235539
0.0072187435	401643.4402054822
0.0052385441	552709.0806783076
0.0041074712	703948.1595646261
0.0033758102	855358.8650247700
0.0028637658	1006939.3864266200
0.0024853763	1158687.9208211820
0.0021943649	1310602.6531155279
0.0019636081	1462681.8772175694
0.0017761562	1614923.6135584249
0.0016208715	1767326.2791097083
0.0014901344	1919887.9855440988
0.0013785557	2072606.9428195585
0.0012822162	2225481.3739532502
0.0011981975	2378509.4876113608
0.0011242816	2531689.7356286924
0.0010587529	2685020.2631104207
0.0010002635	2838499.1143616503
0.0009477395	2992124.8478038493
0.0009003150	3145895.6661895742
0.0008572839	3299810.0418047439
0.0008180649	3453865.7404208630
0.0007821746	3608062.0359353605
0.0007492084	3762396.4144604821
0.0007188245	3916867.5920272325
0.0006907324	4071474.2113363603
0.0006646837	4226214.3697748054
0.0006404646	4381086.5439454224
0.0006178901	4536089.4375120662
0.0005967994	4691221.2862151153
0.0005770519	4846481.2208138630
0.0005585244	5001866.8887474900
0.0005411082	5157377.1070995573
0.0005247071	5313011.1646988317
0.0005092359	5468766.2681778939
0.0004946184	5624642.7032036837
0.0004807867	5780638.5609252732
0.0004676799	5936752.1737375306
0.0004552432	6092982.3809385682
0.0004434272	6249327.9187726397
0.0004321872	6405788.1433265340
0.0004214827	6562362.3446718706
0.0004112770	6719048.4552704012
0.0004015367	6875844.1043718494
0.0003922311	7032750.7062479146
0.0003833323	7189766.8897499731
0.0003748148	7346890.1515060877
0.0003666550	7504121.7173745772
0.0003588314	7661458.9301478025
0.0003513241	7818901.0704205297
0.0003441147	7976448.3528628089
0.0003371863	8134098.7133121463
0.0003305231	8291853.8439142192
0.0003241107	8449709.5278887097
0.0003179355	8607667.3878307808
0.0003119850	8765725.4552143849
0.0003062474	8923886.3534583226
0.0003007119	9082147.2730529737
0.0002953684	9240505.9556034487
0.0002902073	9398965.2027258389
0.0002852198	9557522.3330739271
0.0002803976	9716176.5654524695
0.0002757329	9874927.8393485416
0.0002712183	10033779.0712497234
0.0002668470	10192727.8911271282
0.0002626125	10351775.8999011964
0.0002585089	10510916.3210477810
0.0002545303	10670155.9014615528
0.0002506714	10829490.9032551870
0.0002469270	10988925.9882645346
0.0002432924	11148456.7793907784
0.0002397631	11308081.3028928004
0.0002363347	11467804.2817166056
0.0002330032	11627622.7388775870
0.0002297647	11787539.0799150877
0.0002266155	11947556.0272101238
0.0002235523	12107665.3480549864
0.0002205717	12267872.8801621199
0.0002176705	12428183.1589374840
0.0002148459	12588587.0705684312
0.0002120950	12749088.9515069686
0.0002094151	12909689.7463860363
0.0002068036	13070392.2368965410
0.0002042582	13231187.9908881951
0.0002017764	13392088.2449038904
0.0001993560	13553092.4030541833
0.0001969950	13714192.9036581591
0.0001946913	13875395.1979059447
0.0001924430	14036697.2782175764
0.0001902482	14198103.2230428606
0.0001881052	14359608.3560230322
0.0001860122	14521221.2507470306
0.0001839676	14682941.0381453596
0.0001819699	14844764.0909942538
0.0001800176	15006691.8001959361
0.0001781093	15168722.3213562053
0.0001762436	15330858.7042583637
0.0001744191	15493109.2124468051
0.0001726347	15655460.0411667824
